video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
cRHSQEVEGlY,Der E-Wolf #717 - Der e-Golf kommt - Teil 6 - Multimediasystem,2020-08-05T04:30:01Z,UCUh8zvuZWNoIur4Cv-3fUzw,880,34,4,0,0
Jhu7X3iko1I,Neues ´TESLA SERVICE CENTER Köln´ schenkt mir quasi ein neues Performance Model S,2020-08-05T11:39:02Z,UCnO3VZ_KQpBcUq6h5oJ1b6A,1690,24,14,0,0
de0wZS_eF5g,"Winne Hermann, Minister für Verkehr in Baden-Württemberg",2020-08-05T16:18:41Z,UClGlJsBhn0NU7zLWrXnp8sA,274,16,3,0,0
xLu2KrURRKs,Smart-Meter-Gateway - Wie funktioniert's? | BSI,2020-08-05T10:43:50Z,UC_VgLyJQsChxKfDJcdI-Tcg,20634,117,42,0,0
Rz4M9qex7po,Short-Cut: Der Nächste wird ein Elektro - wirklich?,2020-08-05T01:20:59Z,UCWtyVZWQ9K3UbW5nmsMH3LQ,321,8,2,0,0
D7x3o0vyLkM,Erster elektrischer Kombi von MG der MG5 Tagesthema Elektromobilität Nr.98,2020-08-06T15:00:10Z,UCHuXYLIv70fPKK9c60TwLQw,502,28,1,0,0
e-rf-IrJ6OY,Was bringt es auf der Autobahn schnell(er) fahren zu wollen?,2020-08-06T14:09:51Z,UCddkvrnYqGRfODPMUQqisiw,2241,87,21,0,0
tu8riN_uE-E,Was machen die Norweger anders? | Easee und ihr Laderoboter,2020-08-06T18:22:25Z,UCaCaZ-vKtnMG2_FKmEePChQ,10273,244,40,0,0
msuiPELZrto,"Breaking Elektro-News: CHARGE&FUEL PREISBOMBE, Umweltprämie-REKORD, ABB verkauft nach Japan 😎",2020-08-06T05:00:13Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,7975,445,88,0,0
JjdEbNTKzEM,Die Wallbox | Eigene Ladestation fürs Elektroauto Zuhause,2020-08-06T19:11:24Z,UCBTJnSirNI8kwOn5ROB_BGA,3967,81,15,0,0
SsSG2ebgzds,Der Traum vom Elektroauto -  Depotupdate August,2020-08-06T16:35:09Z,UCKC9gZw2CxA8y9sgBA58Wnw,1355,22,39,0,0
PSQsqrvEeos,SPD Attendorn - Eine neue Stimmung in der Stadt,2020-08-06T19:07:32Z,UCeeZ43VxaLHb9fa-0CUNWlg,657,12,1,0,0
ozCs7a0T_BM,Reicht der Strom wenn alle elektrisch fahren? - Woher kommt der Strom für die Elektroautos?,2020-08-07T09:30:04Z,UCaCaZ-vKtnMG2_FKmEePChQ,13751,498,381,0,0
1CfjVhozWGE,E Auto Verkaufszahlen weiter stabil trotz COVID 19 Tagesthema Elektromobilität Nr.99,2020-08-07T15:00:00Z,UCHuXYLIv70fPKK9c60TwLQw,130,10,3,0,0
AKnmfmAjmPI,Vorbereitung für 1.700 KM TESLA-Roadtrip nach Rumänien - mit Oliver Krüger!,2020-08-07T16:00:11Z,UC7gqKyCHYENWESm3mGcJO5A,11687,625,99,0,0
1aM03onC_UM,"Elektroauto unterwegs aufladen - Ladsäule finden, Preise vergleichen",2020-08-07T11:00:03Z,UCuAoYLGCCtkXz0xKuM1MUTQ,17167,448,54,0,0
gQkeaiTbTa0,Die Steckertypen des Elektroauto | ein Überblick über Typ-1 Typ-2 ChadeMO & Co,2020-08-07T15:21:15Z,UCBTJnSirNI8kwOn5ROB_BGA,3705,77,19,0,0
5Z1C_J176hI,Wir FAHREN den 350.000 € Tesla fürs Wasser 🌊 EXKLUSIVES E-Boot MARIAN M 800 am Wolfgangsee,2020-08-07T15:31:02Z,UC96MGGyxaZZQ6aFKSVMHIew,9568,228,11,0,0
Mi-xTsqUtRo,Starke Stimmen mit Dr. Rüdiger Freimann von der ERWIN HYMER GROUP,2020-08-07T10:51:45Z,UC3VIJuG4taRjm_wMm01D0zg,609,26,1,0,0
E0zbEffZ4Ro,Audi e-tron – Laden zu Hause,2020-08-07T13:04:39Z,UCNpLPsSmanPaD83VtTgMb3g,16922,123,28,0,0
Yg97SIvEolM,Der E-Wolf #718 - Fahrzeugabmeldung Online,2020-08-07T04:30:02Z,UCUh8zvuZWNoIur4Cv-3fUzw,201,28,9,0,0
CW6QO0HZqoo,"nextnews: VW ID.3 fast ausverkauft, E-Auto-Boom, Tesla Model Y, CO2-Strafe für Daimler, Polestar 2",2020-08-07T16:00:04Z,UCgmB8S3f8-9dR8alVUZuZxQ,59164,3089,349,0,0
OtV4_SVLzDE,"»Wumms-Paket, Verkehrs- oder Verkehrtwende« mit BEM-Präsident Kurt Sigl",2020-08-07T14:38:07Z,UC3VIJuG4taRjm_wMm01D0zg,800,46,1,0,0
230uXYPzilM,"Paul erklärt die Fahrmodi der neuen Mercedes-Benz Hybrid-Fahrzeuge | #Süverkrüp, A-Klasse, A250",2020-08-07T06:31:51Z,UCrj3sOgAS6tioBK940-VqHA,4195,13,6,0,0
qaWRdX4_qsg,"E-Auto Rekord, Fahrverbot wegen Tesla Touchscreen, VW Chef testet ID.3 - Elektroauto News",2020-08-07T16:26:22Z,UCBc0Mghy-6jhMXs3T7DluMg,10874,500,129,0,0
2kNWe_d11YY,Tests mit Elektro-S-Klasse von Mercedes (EQS) Erlkönig versus Tesla Model S/3 I 60% KMU-E-Förderung,2020-08-07T16:00:02Z,UCSwRhu8CeHVXZlG1ExdjuTQ,13937,416,84,0,0
u5VO9bdg82M,Noch mehr Daten im Tesla Model S anzeigen lassen,2020-08-07T05:00:08Z,UCgwu7LofR7ENUXWAqn2W5fg,617,34,8,0,0
l0EufE-ygZA,I'M BACK! // MIT verrückten NEUIGKEITEN im Gepäck | EFIEBER,2020-08-07T16:00:13Z,UC7yTmxTaRki-3qVGF14Tchw,1147,101,24,0,0
mAqLKGkgZLY,"XIAOMI PRO 2 vs. NINEBOT MAX G30D 🔥 Welcher Roller ist besser? 🔥 E-Scooter Test, REVIEW (DEU)",2020-08-07T20:30:13Z,UC3yeO-6AM65HYwLMN0ST7ZQ,191164,3195,424,0,0
2o-d_xywLBQ,Tesla News Tagesthema Elektromobilität Nr.100,2020-08-08T15:00:03Z,UCHuXYLIv70fPKK9c60TwLQw,317,24,10,0,0
N7wm8J4JotI,Elektroautos - setzen wir auf das falsche Pferd? VERSION 2.0 | energieinfoASPEKTE,2020-08-08T11:08:26Z,UCT5nXIRHzhRxwCY-_LH1SQA,3068,105,40,0,0
XmeqxXlG17Q,Das Tesla Geschäftsmodell erklärt (Netzwerkeffekte und Coase-Vermutung),2020-08-08T07:00:12Z,UCSExr_QUT6h-4sGW5hGjrCA,201888,13397,1897,0,0
CzWJQ1Av9Fo,Reicht Der Tesla Akku Bis Nach Slowenien? Für @janboehm,2020-08-08T11:34:08Z,UC3rz4cx41jWj7shRBTetzkw,42657,2181,292,0,0
oIENw4Fmy3U,Bosch AdvancedRotak 36-660 im Test - Akku-Rasenmäher Deutsch,2020-08-08T12:00:12Z,UCdshQendBd3kmulG0hlDzDA,25868,324,56,0,0
_OT8zCtQ90s,Erste Fahrt im Tesla - Model S 90 D [Deutsch] | Vision E Drive #12,2020-08-08T06:00:03Z,UCDMd4FzBxxKD5yAeeLStU6A,891,33,7,0,0
hhzq0Gc5Ejg,Braucht die Energiewende Elektroautos? | Von Sektoren neuen Möglichkeiten,2020-08-09T18:10:49Z,UCaCaZ-vKtnMG2_FKmEePChQ,4882,296,51,0,0
SzAoI5AnqyY,Die neue elektrische Mercedes S der EQS KlasseTagesthema Elektromobilität Nr.102,2020-08-10T15:00:12Z,UCHuXYLIv70fPKK9c60TwLQw,306,16,3,0,0
W_b8jmpW2vQ,Tesla der Lüfte: Pipistrel Alpha Elektroflugzeug | Fliegen wir bald elektrisch?,2020-08-10T16:00:15Z,UCgmB8S3f8-9dR8alVUZuZxQ,30329,1520,306,0,0
BM-D22lRnWU,Laden in Pforzheim | die Stadtwerke Pforzheim und ihre Ladesäulen fürs Elektroauto,2020-08-10T16:13:56Z,UCBTJnSirNI8kwOn5ROB_BGA,1131,51,24,0,0
FVUcZWAPCuk,Handy spiegeln auf alten Tesla Model S - HDMI auf USB-C,2020-08-10T05:00:02Z,UCgwu7LofR7ENUXWAqn2W5fg,711,39,3,0,0
