video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
2k47RxWWrM4,Neue Führerscheinprüfungen 2021. Was musst du wissen - Kurz und kompakt.,2021-01-31T19:00:11Z,UCflCbVMx6ZxsmzK7Mx3y5hw,22171,335,42,0,0
WzAguMnOTbs,FIAT 500E - App Vorstellung und AC Laden,2021-01-31T16:00:13Z,UCug-CMwBZiEx7asdsIRDHOQ,14224,202,69,0,0
y7U_oAOT2ts,"VW ID.3 vs. Tesla Model 3 (Komfort, Kosten, Klima) | dieserdad",2021-01-31T10:26:06Z,UCEOwVSbkn8pY_jVwhU4pNkg,26223,1162,476,0,0
GUQxDwxF9UY,Nissan Leaf e+ TEKNA (2021) - Kompaktes E-Auto für Kurz- und Mittelstrecken - Test I Fahrbericht,2021-01-01T12:41:02Z,UCEIpQSFT56hXhH2SEwuqX4Q,3725,64,40,0,0
ZRitI45V3_A,E-Auto Batterie Aktien SPAC THCB Microvast - Möglicher Zulieferer für Tesla? - TrendInvest,2021-01-01T18:46:48Z,UCqs_d7U3QdfOv2vRBR0p8qw,1266,47,14,0,0
rLxz8ZJhlu0,163 Grad Live | KfW440 | Wallbox Lieferzeiten + Preise | Neue E-Auto Tests | 1 Jahr Model 3,2021-01-03T20:48:52Z,UCbe4BpM5-Ta7MIlbKOofTDA,11246,681,68,0,0
BXwS1jWzWME,"E-Auto Aktien steigen stark wie BYD Aktie, NIO Aktie & viele mehr: Diese Aktien jetzt kaufen?",2021-01-04T21:22:18Z,UCzI2pFo5qj6iVAU_yfTRDXg,7443,341,54,0,0
sTt5Dwbi46Y,Baut ein e-Auto zusammen und rettet einen Patienten in VR! WirtschaftsWoche Virtual Reality,2021-01-05T18:00:30Z,UC3ok91FKp_SAtxhz63Ti3KQ,2099,123,27,0,0
5bvUoAjrfz8,Endlich wird geimpft ++ Rekord bei E-Auto Verkauf | krone.tv PUSH,2021-01-07T16:00:03Z,UC4qhj5cnX0MkbwXQ5vlI1NQ,232,1,5,0,0
uayPGmahAfI,MOTORES VIDRO ELETRICO PADRÃO MABUCHI - 8 DENTES / 10 DENTES / ESTRIADO / 12V E 24V,2021-01-07T15:09:12Z,UCeAM5_XUd1bhaY7SVeCcTsA,2134,58,7,0,0
a4K2r8Ql9mA,Das AUTO macht NUR PROBLEME! Pfusch an E-KLASSE! - MeteTV,2021-01-09T08:00:01Z,UCl6LLsR0OF9FROh8qBYo-8w,2783,47,12,0,0
aHhhzdhEl-8,Kombination Photovoltaik und E-Auto? Rentabel? Und für wen? Vortrag A.Schwingenheuer,2021-01-10T09:30:11Z,UCogPyel5zmcX7dRP88vY9lA,6166,184,59,0,0
YjE-jd9SH9Q,Live B.E.N Spätschoppen: Die Schlacht um Wuppertal! Das 1.000-KM-E-Auto und Polizei fährt elektrisch,2021-01-10T21:48:01Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,3976,355,30,0,0
bC9xKqnXG-Q,VIELE neue schnelle LadeStationen in DE!  eAuto  laden (ua A81 bei Abstatt) Elektroauto SuperCharger,2021-01-10T13:50:22Z,UCwmudHnXD7MSod6kNvMxCRw,27,,1,0,0
-dVQhsI7KAs,GTA V Online 1.52 Modest Kiddion v2.0 | GTA 5 Mod Menu PC + Free Download,2021-01-10T16:50:18Z,UCt4cAitdDiL1rX4Y7PcNWsw,2079,69,36,0,0
6CVN2x1_vHE,Selbstversuch: Smart EQ am Stromerzeuger aufladen! Obs möglich ist?,2021-01-11T08:04:27Z,UCMwYZ6fDVXakCVN1-x34bkg,23301,315,72,0,0
gPpoMUGwUFY,Ford Mustang Mach-E rijtest: de best sturende EV?!,2021-01-11T15:00:30Z,UCqD3d6GLQrKgbGiddisFCcQ,67739,543,173,0,0
KIpsNZlkhKs,Photovoltaik: DC Ladung Peugeot 106 Electric | E-Auto DC - Teil 1,2021-01-12T19:29:10Z,UCEA8dU3ig-0ItOz6idHOlfw,226,9,4,0,0
9tMl5nd4Hbs,Mercedes 190 E 2.5-16 Evo 2 (1990) | Spritztour in einer Legende (W201) | Fahrt,2021-01-12T04:30:00Z,UCJrXOOtvmGn4CF7aYaJwuHA,77685,1363,154,0,0
0hhposLS8Gs,GTA SAN ANDREAS v 2.0.0 HACK APK/MOD DINERO INFINITO TODO DESBLOQUEADO ULTIMA VERSIÓN,2021-01-12T15:10:48Z,UCtng5DERQiae9qj9Z_Klnqg,285082,4988,358,0,0
L4jUSIDaJ6w,Die Alternative zum E-Auto,2021-01-17T09:10:50Z,UCw7Zlz_b0WYEB1dJ44Ltwvw,70,5,1,0,0
F3nTDfAcx9w,Porsche Macan (2022) | An welchen Porsche erinnert dieses mögliche Design des E-Macan? | Skizze,2021-01-17T19:15:00Z,UCJrXOOtvmGn4CF7aYaJwuHA,61430,383,54,0,0
cqWfSDC9FcM,Günstiger E-Auto SPAC: CGRO - Innoviz. Jetzt zugreifen! TrendInvestment Analyse,2021-01-17T15:37:01Z,UCqs_d7U3QdfOv2vRBR0p8qw,676,40,10,0,0
a1pQ4LoR8WY,Willkommen in der E-Auto-Lounge,2021-01-18T17:00:00Z,UCf3enJ3vAEW57CMRV3sScBQ,1848,161,48,0,0
A24oTV56j-0,MANTRAS E PERGUNTAS DE ACCESS PARA AUTOESTIMA E AUTOCONFIANÇA,2021-01-18T17:00:09Z,UCrYw9xI8rlQFk_GSLxEHL3Q,73211,4017,94,0,0
RKJULiYUkVA,OK🥊 SEKALI ..‼️NASIB LABU DAN LABI - P.RAMLEE - PART 1 | NOBARCUY,2021-01-18T12:00:10Z,UC_xnGX78X_AUoVYDQkpF8nQ,90074,2597,199,0,0
6B5nS81ske8,Mercedes A 250e AMG Line Plug-in Hybrid 2021,2021-01-19T07:42:11Z,UCaohVN0dY4mQykmtM-wWEdw,25929,179,28,0,0
Q57P2MFb7rk,Userschelte: Reifenverschleiß beim E-Auto (Tesla),2021-01-20T16:00:07Z,UC5i6nCpwmDVKo98sZD2AAcQ,23025,1370,533,0,0
Lm2VsL8nB60,E-Auto-Faktencheck,2021-01-20T04:00:05Z,UCf3enJ3vAEW57CMRV3sScBQ,2986,457,96,0,0
5sxgLAthqMI,ID.3 statt Tesla #9 - E-Auto laden Zuhause - so geht´s! - Ladezubehör erklärt,2021-01-20T15:00:06Z,UCdPCrCxcLyL7DQGo3P6ZfUA,25670,1315,260,0,0
Gzj3hwkHXlg,Ninebot Max G30D | 2 Stufiges Bremslicht wie beim Auto,2021-01-20T23:27:21Z,UCiVO1SV0adBv7Fpc1jRVPYQ,2840,7,14,0,0
DZQ5shEiEUM,Opel Corsa E OPC Line Lautsprecher Tausch Anleitung Audio System Carbon 165 Werk45 STP Türdämmung,2021-01-20T21:59:17Z,UCAaAcCN1HeoCbkEKAeVXy_A,862,6,2,0,0
325t3FLdxaw,301- Viele ELEKTROFAHRER (E-Auto YouTuber) sind KEINE echten AUTOMOBILFANS!,2021-01-21T13:42:12Z,UCVXFrJmPKW6c4EJra1s59Lw,144,12,6,0,0
fxCtHs7a9_U,3 PENNYSTOCK AKTIEN DIE GERADE HEIMLICH EXPLODIEREN | E-AUTO AKTIEN JANUAR 2021 |BESTEN PENNY STOCKS,2021-01-21T14:45:01Z,UCrIBPscpEFlJaU-BrAWewaA,1100,28,3,0,0
ksqXPoga8nU,E AUTO LEASEN UND GELD VERDIENEN? I AUTOVLOG,2021-01-22T17:10:39Z,UCQGg4CapIYLuO0Vdw2cr4Vg,1233,47,2,0,0
sbyDRQd0wj0,Suda SA01 - Das preiswerteste E-Auto Deutschlands und seine Probleme,2021-01-23T15:00:13Z,UC3Jfl8f3d2bVPU75gHZeGUg,3935,64,69,0,0
XO4eDVQKBx0,E-Auto-Wärmepumpe ineffizient?,2021-01-23T12:21:03Z,UCf3enJ3vAEW57CMRV3sScBQ,10954,648,151,0,0
0UhoTlJK6gU,Audi Q3 Sportback mit Hybrid-Antrieb: Alternative zum reinen E-Auto? | Fahrbericht Klaus Niedzwiedz,2021-01-23T15:04:25Z,UCo-boT3MB4jtbBSiK2Dfyzw,27888,100,6,0,0
4zBT7pHGBjs,22 Jahre E-Auto Reichweite Update | Alaun Batterie Test | #Horst,2021-01-24T07:38:39Z,UCEA8dU3ig-0ItOz6idHOlfw,137,6,1,0,0
hIfVLCbGAhQ,2020 PEUGEOT 508 SW HYBRID PLUG-IN (225 HP e-EAT8) | 4K POV TEST DRIVE,2021-01-24T17:00:13Z,UC_AiRjy_iHsstL1RLV-a_wg,16635,133,8,0,0
mP42Rr_Bblg,E-UP: We Connect Fahrdaten auslesen,2021-01-24T07:00:22Z,UC59R3K6OAY4hB4zc38NcOdQ,680,18,14,0,0
wUeFGSFm45I,"Ein Abenteuer? 1. Roadtrip mit E-Auto, Dachbox & beladen im Winter! Teil 1/3 - Autarkie - Folge 71",2021-01-25T15:30:03Z,UC61qPMX7tIZGgHbKiG3Y7XA,1018,63,33,0,0
LyKGLmDJXDk,Prof. Dr. Ingo Hahn - Sauberes E-Auto? Im Gegenteil!,2021-01-25T14:00:12Z,UCtWlDp6ZKQwp177Mxu3fI-A,3111,496,55,0,0
4cS0YU1G2IY,18:30 LIVE - E-Auto im Winter laden und PV-Verschattungen - Die Gesprächsrunde,2021-01-25T06:44:31Z,UC-k-5F2j4CUzuwkx1QLRlpA,1638,101,20,0,0
f1Xwasq9AFw,E-Auto zu Hause laden – Worauf kommt’s an?,2021-01-26T20:54:53Z,UCf3enJ3vAEW57CMRV3sScBQ,8445,422,29,0,0
AKiS91TrLSg,Günstigste E-Auto Aktie? BYD Aktie jetzt kaufen? - BYD Aktienanalyse,2021-01-26T16:00:06Z,UC6YJQ2qqKACdh62gRgc1WFA,6759,213,57,0,0
P9CBm5ubEsU,Roadtrip: Mit dem E-Auto von Wien nach VLBG,2021-01-26T08:17:26Z,UCofePg4d0knn5y3CPRug94A,200,3,1,0,0
9Oo_0F-KmhA,Ford Mustang Mach-E (2021) Review - De stoerste SUV? - AutoRAI TV,2021-01-28T15:03:37Z,UCXzGMLLCigcua_gLo9t1VUw,18622,169,17,0,0
bHYIHdhvEMo,New All Star Tower Defense Hack 🔥 AUTOFARM - AUTO PLACE 🔥 Roblox All Star Tower Defense Script,2021-01-28T13:54:52Z,UCTB4kx3EjFaPOweXeXuUYTw,107616,1890,1395,0,0
ViprwlKGeS8,ID3 ID4 Bedienung von Tagfahrlicht | Abblendlicht | Standlicht | Nebelschlussleuchte per Touch,2021-01-30T11:50:28Z,UCHb4RBumd-HvQHC142jt0bQ,8862,248,18,0,0
UfjACSMlBg8,E-Auto & Balkonkraftwerk.,2021-01-31T19:14:59Z,UCuTppRenvCItBcvNc8_qczw,2069,111,20,0,0
xaJFlMtHK0Y,VW E-Up Soundgenerator Lautsprecher abschalten... ;),2021-01-31T12:17:56Z,UCXeywjATRmP4VNp5GAKQtwg,4076,46,47,0,0
