,follower_count,user_id,user_name
139,7,462818287.0,cl1505
140,,,
141,101,16133902.0,schoenix
142,209,750179982.0,Zahn_des_Loewen
143,1292,982464824.0,IvokainKrieg
144,790,19068675.0,wunderlicher
145,22,1.2902945241542042e+18,U_K_Chris
146,22,1.0587502568406712e+18,Goldregen7
147,2691,9.331027078286008e+17,SoerenLorensen
148,1544,345924880.0,wolfheilmann
149,5,14894344.0,peroneus
150,251,2725915916.0,alwayssimifuzi
151,149,1.411415525150937e+18,ZoeUpgraded
152,57,2620437838.0,MKrassowsky
153,1049,159050409.0,ThorstenRinne
154,185,135105885.0,TC_Roszak
155,4423,830989122.0,shortymatic
156,12712,15632048.0,mobiFlip
157,186,384907686.0,JohnnyMaxw311
158,975,15343202.0,radiermann
159,36,365102226.0,unsinn_s21
160,70,1.3769422125634847e+18,chriflu1
161,0,1.501691769737646e+18,Rabbit__Junk
162,269,1.255878869678162e+18,AHornheim
163,22,1.3917250390290063e+18,TomHS10
164,638,1.175422257251963e+18,klimaschutzyeah
165,5,1.064655088050942e+18,Der_Kolja_
166,166,1.3666514894611538e+18,SSL_SM
167,18,1.382703972050428e+18,mux_tux
168,155,9.754830435227116e+17,Iceskiff_Limeoh
169,1787,227793120.0,Hamburg397
170,38,1.132373350406398e+18,alife_meat
171,77,1.4232971934950687e+18,KritishBurzhaar
172,31,1.2418066837452022e+18,BBleiben
173,736,7.580509384184955e+17,stadtkindd
174,2,1.502937839037825e+18,TF1337
175,0,1.5001000229222646e+18,BurdackRene
176,11,2527433429.0,Michel_aus_Joeh
177,676,1588291346.0,SZLZ1
178,623,8.774439891123159e+17,Wi_sait_us
179,66,1.4408933573629256e+18,KaiRuhsert
180,430,1.416781739008176e+18,HellaJohn1
181,265,50594157.0,marcspecht
182,1064,1923154692.0,everdichter
183,148,4048469009.0,tsePrD
184,23,7.662855678060216e+17,IburgMetal
185,540,8.568750561856922e+17,zolar_de
186,1017,14419752.0,larswichert
187,1,9.076073715596861e+17,DEUTSCHeinsTV
188,167,4649079917.0,RTF3Radio
189,1333,25067135.0,RTF1
190,1501,514964596.0,derwahremawa
191,2678,1.0276215069464084e+18,LibertyGecko20
192,1274,14813573.0,happel
193,139,543672923.0,DerVeloc1ty
194,206,19282387.0,redfox1
195,46,23755903.0,Nord_Mann
196,1336,1.1417137917318185e+18,BahnkundenV
197,2286,172338200.0,gnutiez
198,528,942243013.0,RobbiKoenig
199,2636,1.3435154985967575e+18,PSchnei26364427
200,191,9.102152004770079e+17,SchwarzerKorsar
201,1787,155866734.0,eurosecurity
202,18060,19533595.0,Berlin_Ticker
203,196,3395118299.0,greenpeaceWEN
204,680,1.190967733707522e+18,DasBoes
205,1317,1.331724892090327e+18,gymboigoassmass
206,2308,81948972.0,twittlik
207,5369,88773730.0,Disfosgen
208,1276,1083308845.0,BVESeV
209,2227,84341338.0,e_mobility
210,52,1729955731.0,der_Stephanist
211,0,1.1489584859602452e+18,WolfChristian10
212,52,8.234794012832768e+17,GrueneSeelze
213,4422,17038570.0,photovoltaik
214,4393,1095416827.0,eMobOnline
215,137,2294602172.0,Rziepen
216,2958,15704091.0,_stk
217,23,1.1314466349178388e+18,bue500
218,2110,1.0860205144459592e+18,MoneVonBerg
219,4269,390742975.0,p_humm
220,10421,9.571542830021796e+17,schweizok2
221,168,1.3163121284423066e+18,Makeimer
222,331,7.985594145171087e+17,fairzinsung
223,591,1635893125.0,0EmissionCar
224,1860,1.1354736231862682e+18,news_nowgmbh
225,225,9.1124613833395e+17,TZ167
226,482234,22926365.0,Tagesspiegel
227,61,8.08905024176853e+17,johnturnersn
228,370,504920310.0,PeterSchwarz11
229,112237,22778541.0,rbbabendschau
230,81,186479916.0,M4rcu22
231,0,1.4805050182896353e+18,Furzschnorchel
232,292662,19240255.0,morgenpost
233,1246,7.260634749215826e+17,SurveyCircle
234,1,1.4786736235735695e+18,Midnight1887
235,246,50993577.0,HerbieConnected
236,14,1.4679211310595318e+18,Wotans_Runen
237,175,1312934364.0,Nussjackl
238,2,1.174383769610064e+18,Barffm2
239,69,380989610.0,mastafotygo
240,232113,14327439.0,mopo
241,161,4646454389.0,AikProtech
242,590,1.3509053943952753e+18,kryptoschland
243,693,4849036817.0,digitalmediaCH
244,2253,718145940.0,CityReport
245,149286,22152558.0,bzberlin
246,275,9.087050859408138e+17,top_studies
247,1505,1.372871859025408e+18,BHerrmann_
248,364,1.4834288149402624e+18,TenebrisObortis
249,71,1.4081349324347556e+18,KoraMerle
250,261,8.224153107834143e+17,_markkoenig
251,141,1.2746893786616463e+18,Kiefernfee
252,8401,281396928.0,gemuesesuppe78
253,1,1.5057131872614031e+18,energiefahrer
254,585,8.680332071738655e+17,JoergRodenwaldt
255,291,1.2540745043992412e+18,24hamburg_de
256,252,16663504.0,BlackAlien
257,51,18220588.0,haebae
258,60,1.049251003663614e+18,e_handwerke_sh
259,4836,3290039215.0,Rechtsuniversum
260,505,1.0684754920078459e+18,JanazJoseph
261,309,2584060620.0,emobicon
262,331,1962566377.0,razerrath
263,212,14814502.0,mp4rthesius
264,450,9.79247956154114e+17,Franz_Metzger1
265,1273,1.1446977819924726e+18,_mobility_
266,6,171592196.0,flomuegoe
267,67,2862505432.0,UKlupfel
268,459,1.3599663795506463e+18,DagmarHufnagel
269,2750,34901538.0,academics_de
270,15,1.4202911885533553e+18,scr00ge1
271,0,2971116945.0,DeTo7200
272,121,4560730251.0,Hubertusleben
273,9,1.2457408153575424e+18,Heini88207678
274,1060,45388771.0,th_g
275,156,2361207403.0,MeinWadersloh
276,236,2440804540.0,F_Reil
277,1263,1.3425006252554445e+18,Jrgen70858433
278,536,1730377189.0,pdfkungfoo
279,60,7.27283435316908e+17,der_sedaka
280,446,2994417309.0,DavidDuhme
281,8033,12413532.0,snoopsmaus
282,87915,8724992.0,golem
283,311,178452596.0,dblenich
284,749,8.386644471074284e+17,VISIONmobility1
285,4698,1245776018.0,pvmagazine_de
286,1135,83635983.0,tv_mittelrhein
287,677,1.33642347121621e+18,XxChrizzleyxX
288,1638,1.0521173895659725e+18,KfW_Research
289,29,108036919.0,Fatalys
290,481,2319159469.0,Spritplus
291,200,135555895.0,ITSGermany
292,71,1.0088180236570993e+18,OpenEMS_EN
293,11245,15055852.0,GillyBerlin
294,7808,1073807048.0,heiseautos
295,3,1.4708594016491766e+18,HerrFuxx
296,59970,43872301.0,weserkurier
297,1087,270842937.0,3E_Ticker
298,2859,36624515.0,stadtradio_goe
299,1888,77838776.0,News__Poster
300,2273,117685359.0,pp_automobil
301,19270,44869225.0,shz_de
302,91,39828906.0,maschaper
303,4599,9.760907967923855e+17,ichbinschoener
304,255,56367588.0,biwa59
305,5509,287193248.0,ecomento_de
306,1927,596330927.0,ChrisTechloupe
