,users,follower_count
274,th_g,1060
275,MeinWadersloh,156
276,F_Reil,236
277,Jrgen70858433,1263
278,pdfkungfoo,536
279,der_sedaka,60
280,DavidDuhme,446
281,snoopsmaus,8033
282,golem,87915
283,dblenich,311
284,VISIONmobility1,749
285,pvmagazine_de,4698
286,tv_mittelrhein,1135
287,XxChrizzleyxX,677
288,KfW_Research,1638
289,Fatalys,29
290,Spritplus,481
291,ITSGermany,200
292,OpenEMS_EN,71
293,GillyBerlin,11245
294,heiseautos,7808
295,HerrFuxx,3
296,weserkurier,59970
297,3E_Ticker,1087
298,stadtradio_goe,2859
299,News__Poster,1888
300,pp_automobil,2273
301,shz_de,19270
302,maschaper,91
303,ichbinschoener,4599
304,biwa59,255
305,ecomento_de,5509
306,ChrisTechloupe,1927
307,KlausHesse1,40
308,gjarsen,38
309,abendblatt,121707
310,JogiBr20892265,2
311,Volt_Christoph,64
312,DomTHell,824
313,ulfilas72,46
314,MrGrandMr,10
315,WolfgangRausch,131
316,ClaasBansemer,138
317,simonimous,1619
318,bitboy0,390
319,Brainstorm404,76
320,asg_news,608
321,Dr_Fisheye,820
322,kuschelkirche,3360
323,henning_soel,405
324,SPDSH,8141
325,rolanddor,610
326,hugezwerg,26
327,markusdd5,4271
328,ErnstvAll,5516
329,gofast_swiss,512
330,RimkusAndre,2
331,SWM_Muenchen,14868
332,daily_research,1137
333,energate_news,5079
334,VerkehrNRW,6635
335,patrislav,336
336,Unghvary,671
337,Mayer0077,27
338,Shell_Germany,4960
339,MarkusMeissner1,29
340,Sonderabfallwi1,32
341,ch_emobil,14
342,42oderwas,237
343,chelseafmodel,143
344,filmfacts,756
345,turbotommi,1088
346,zeitung_energie,9148
347,fettiz,57
348,SynRRg,750
349,BUS_2_BUS,659
350,J_DuerrPucher,306
351,DocPfoe,1778
352,K1ngdaKa88,364
353,Nokius,520
354,metall_ig,2278
355,hstubner,3903
356,DannyHillborou1,528
357,Tasso2000,9522
358,mg33,9
359,Enigma67231918,90
360,SZ_Erding,718
361,123_INFO_DE,85
362,uransoft,507
363,DerKasinator,218
364,StefanHeimlich,712
365,herr_geheimrat,168
366,RNaubereit,121
367,AsatothAbaddon,682
368,handwerksblatt,6054
369,dvz_news,5010
370,rbb24,111379
371,Jaster19679681,4
372,bdew_ev,11947
373,verbaende,4134
374,jstammi,32
375,Solarserver,8414
376,pfbits,394
377,CptKrustenkaese,2737
378,WestnetzGmbH,982
379,JoHergesell,73
