,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
67,Y6mDE73iCi8,Model 3 Q2-2021 Facelift - 260 km Langstrecke so schnell wie im Verbrenner: 2 h 20 m inkl. Laden,2021-05-11T23:27:55Z,UCasePAQ_q7tbUGybICCj4NQ,14848,795.0,132,0,0,valid
68,84InkWWLj8Y,FlatExperte Volaric: Nachhaltig Investieren - aber wie? Was passiert bei den Wasserstoffaktien?,2021-05-11T14:22:47Z,UC62IIFhchBWQxLPSyUatD-A,2233,48.0,5,0,0,comment threshold
69,81I-gdy_ZJg,Das 365 Tagesthema Elektromobilität ein Rückblick und ein Ausblick auf den Porsche Macan,2021-05-12T15:00:04Z,UCHuXYLIv70fPKK9c60TwLQw,108,14.0,3,0,0,comment threshold
70,a3g40jyjxXU,Photovoltaik Überschuss laden ohne extra Technik | So einfach das E-Auto mit Sonnenstrom laden,2021-05-12T16:04:00Z,UCaCaZ-vKtnMG2_FKmEePChQ,11106,469.0,90,0,0,valid
71,S8Sc-gjE7P8,"WALLBOX TEST: Von ""Mangelhafte Sicherheit"" bis ""Allround Star""",2021-05-12T08:57:46Z,UCiZnK4X73okItJqaCs2YDOQ,238667,8884.0,623,0,0,valid
72,m9m_4D9EgR0,"E-Schwalbe: der ideale Elektroroller? Erster Eindruck mit @Tips, Tricks & More #SHORTS",2021-05-12T15:04:18Z,UCWDzQTt1RWZD1AtkV76CIBA,1807,63.0,11,0,0,comment threshold
73,7xV8GVHgiKQ,Vom Elektroauto zurück zum Verbrenner! 2 EQC Fahrer berichten,2021-05-12T17:39:25Z,UCVUBc0WF5X-w3T8s6Wyx-jw,6284,284.0,124,0,0,valid
74,7XsBGpG5gmQ,Kupferpreis: Weiter durch die Decke?,2021-05-12T10:36:31Z,UC62IIFhchBWQxLPSyUatD-A,2948,79.0,9,0,0,comment threshold
75,D9sjuVsP1Mc,2021 VW ID.5 | Volkswagen ID.5 GTX | die ersten News & Fakten | Electric Drive News,2021-05-12T16:30:39Z,UCxmohYAjhc2qD5pYIOwQ3bA,5832,144.0,44,0,0,comment threshold
76,htH7nYz5lYA,BMW Group JHV 2021. Clip / Dr. Andreas Wendt (Mitglied des Vorstands der BMW AG),2021-05-12T22:05:42Z,UCnKEfOvPxWQNwJyWvgLSikQ,249,4.0,1,0,0,comment threshold
77,G5GC1eL_L2k,Tesla hat 25000 Schnelllader und Kreditkarten an der Ladesäule? Tagesthema Elektromobilität Nr.366,2021-05-13T15:00:13Z,UCHuXYLIv70fPKK9c60TwLQw,258,24.0,5,0,0,comment threshold
78,nJ_8e0z5bmU,Strom für 8 Cent & Wärmeautarkie,2021-05-13T18:30:14Z,UCy82YSU9FxoYhknZ4PFmjrQ,19124,375.0,65,0,0,Topic
79,w7UYVMF9QgA,"Breaking Elektro-News: Elektroauto-Boom ungebrochen, Elaris E-Auto-Preiskracher, Ladesäulenverodnung",2021-05-13T05:00:13Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,21394,620.0,102,0,0,valid
