video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
GcZoNON_nfk,Mercedes S-Klasse (2020): Cockpit - Neuvorstellung - MBUX - Tesla - Info,2020-07-08T13:00:46Z,UCJrXOOtvmGn4CF7aYaJwuHA,428168,4340,1343,0,0
u0NeGc4kjg8,Hyundai i30 N - Sportwagen für den Alltag,2020-07-08T05:17:18Z,UCBTJnSirNI8kwOn5ROB_BGA,9307,137,40,0,0
gt_a_DZP5KE,Robin LIVE 🔴 Größte Reichweite zum kleinsten Preis 💰,2020-07-09T20:16:02Z,UCBc0Mghy-6jhMXs3T7DluMg,11099,317,66,0,0
jyYZ9P5pcXA,Kostal: Effiziente Geräte clever kombiniert!,2020-07-09T17:26:46Z,UCY_wZURqdlLBPc5YuXTMnmg,20043,91,20,0,0
2-VXuJk05-Y,Tesla-Fighter: Polestar 2 im Fahrbericht aus Schweden + Interview mit CEO Thomas Ingenlath,2020-07-09T13:46:02Z,UC_vO01sSD25a73DhoaxtZTw,14175,222,54,0,0
B7IqLrhjoU0,CORSA-E statt TESLA - eine Woche E-Opel Praxistest - Tag 4 - Holger klaut Dennis den Opel!,2020-07-09T20:23:42Z,UCdPCrCxcLyL7DQGo3P6ZfUA,20196,1602,231,0,0
Vhz0QcF_TZ4,🔋 Mal sehen was passiert: die ersten 500 Kilometer im Taycan 4S - Autophorie,2020-07-09T16:00:16Z,UCllHFziN2zWOQ2yvbejyH0A,9640,242,109,0,0
aucFVx1gFwk,"#NEWSFLASH: Tesla ""Ausverkauft"", Polestar 2 überzeugt, Allego reagiert auf Kritik, DPD elektrisch",2020-07-09T17:00:00Z,UCiZnK4X73okItJqaCs2YDOQ,40520,1955,175,0,0
FOWKmF7VwTs,"VW Multivan T6.1 (2020): 9,2""-Discover Pro und ""Hey Volkswagen"" Test [4K] - Autophorie Extra",2020-07-09T16:00:05Z,UCDvtMIw31B3Id6tZlS6tNTw,32342,113,24,0,0
VM_PWV5ywrg,Elektroauto und Langstrecke: 1400 km mit dem neuen Renault Zoé!,2020-07-10T09:30:01Z,UCwQmqAG_8YlgakD8Dj0DZ4w,76357,982,331,0,0
lvcpvcD0Fv4,Polestar 2: Die neue Konkurrenz für das Tesla Model 3? – Vorfahrt (Review) | auto motor und sport,2020-07-10T08:15:46Z,UCLINPbYQ9sy6qc-TqtBeVnw,106101,1087,536,0,0
0pvhUO7neug,Zwei SUPERNASEN nerven Tesla: Model 3 Abholung im Service-Center Frankfurt/Main,2020-07-10T09:25:54Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,10518,314,145,0,0
